TS time deltat Energy Dissipation Trd volume area area_n Epress E1 E_tension1 P_tension1 E_elastic pressure Zmax stress strain Diss1 Diss2
365 0.35275 0.00361606 0.0136049 0.000392746 0.000262364 0.0318049 0.804922 0.784623 -0.370314 0.002294 0 0.247856 0.000811268 -12.1338 1 0 0 0.0039805 0.000330476
370 0.3712 0.00380242 0.0143432 0.000354904 0.000262533 0.0322406 0.805472 0.784623 -0.381337 0.00235399 0 0.238723 0.000855323 -12.3333 1 0 0 0.00416259 0.000337918
375 0.3906 0.00399838 0.0151104 0.000320707 0.000262705 0.0326763 0.806029 0.784623 -0.392555 0.00241464 0 0.229882 0.000901095 -12.5341 1 0 0 0.00434777 0.00034535
380 0.411 0.00420443 0.0159069 0.000289803 0.000262879 0.033112 0.806593 0.784623 -0.40397 0.00247593 0 0.221326 0.000948623 -12.7362 1 0 0 0.0045357 0.000352765
385 0.432108 0.00433313 0.0167334 0.00027262 0.000263055 0.0335476 0.807164 0.784623 -0.415599 0.00253789 0 0.217376 0.000997946 -12.9402 1 0 0 0.0047271 0.000360182
390 0.45417 0.00451088 0.0175908 0.00025125 0.000263233 0.0339833 0.807742 0.784623 -0.427418 0.00260047 0 0.211322 0.00104911 -13.1452 1 0 0 0.00492102 0.000367574
395 0.477185 0.00474335 0.0184795 0.000227126 0.000263413 0.034419 0.808327 0.784623 -0.43943 0.00266365 0 0.203349 0.00110215 -13.3513 1 0 0 0.00511725 0.000374939
400 0.501386 0.0049878 0.0194004 0.000205235 0.000263595 0.0348547 0.808919 0.784623 -0.451643 0.00272745 0 0.195642 0.0011571 -13.5587 1 0 0 0.00531472 0.000382261
405 0.526834 0.00524485 0.0203541 0.000185452 0.000263779 0.0352904 0.809518 0.784623 -0.464058 0.00279187 0 0.188196 0.00121402 -13.7674 1 0 0 0.00551293 0.000389533
410 0.553593 0.00551515 0.0213412 0.000167576 0.000263966 0.0357261 0.810123 0.784623 -0.476679 0.00285688 0 0.181003 0.00127294 -13.9775 1 0 0 0.00571129 0.000396746
415 0.581617 0.00568397 0.0223625 0.000157533 0.000264154 0.0361617 0.810735 0.784623 -0.489518 0.00292252 0 0.177591 0.0013339 -14.1893 1 0 0 0.00590965 0.000403903
420 0.610617 0.0059769 0.0234186 0.000142438 0.000264345 0.0365974 0.811354 0.784623 -0.502551 0.00298873 0 0.170751 0.00139694 -14.402 1 0 0 0.00610885 0.000411009
425 0.641112 0.00628492 0.0245102 0.000128705 0.000264537 0.0370331 0.81198 0.784623 -0.515791 0.00305552 0 0.164148 0.00146211 -14.6161 1 0 0 0.00630645 0.000418032
430 0.673177 0.00660882 0.0256381 0.000116296 0.000264732 0.0374688 0.812613 0.784623 -0.529241 0.00312289 0 0.157777 0.00152944 -14.8315 1 0 0 0.0065017 0.000424963
435 0.706896 0.00694941 0.0268029 0.000105083 0.000264929 0.0379045 0.813252 0.784623 -0.542901 0.00319082 0 0.151632 0.00159898 -15.0482 1 0 0 0.00669382 0.000431792
440 0.742352 0.00730755 0.0280054 9.49505e-05 0.000265127 0.0383402 0.813898 0.784623 -0.556773 0.00325932 0 0.145705 0.00167077 -15.2662 1 0 0 0.00688198 0.000438508
445 0.779635 0.00768415 0.0292461 8.57945e-05 0.000265328 0.0387758 0.814551 0.784623 -0.570858 0.00332837 0 0.13999 0.00174485 -15.4856 1 0 0 0.0070653 0.000445102
450 0.81884 0.00808016 0.0305258 7.75209e-05 0.000265531 0.0392115 0.81521 0.784623 -0.585157 0.00339797 0 0.134481 0.00182126 -15.7063 1 0 0 0.00724288 0.000451562
455 0.860065 0.00849658 0.0318453 7.00448e-05 0.000265736 0.0396472 0.815876 0.784623 -0.599671 0.00346811 0 0.129171 0.00190005 -15.9283 1 0 0 0.00741375 0.000457876
455 0.860065 0.00841161 0.0318453 0 0.000265736 0.0396472 0.815876 0.784623 0 0.00346696 0 0 0.00190005 -15.9283 1 0 0 0.00741375 0.000457876
460 0.902982 0.00884511 0.0332052 6.45745e-05 0.000265942 0.0400829 0.816549 0.784623 -0.614407 0.0035388 0 0.125308 0.00198126 -16.1517 1 0 0 0.00757914 0.000464065
465 0.94811 0.00930095 0.0346062 5.83463e-05 0.000266151 0.0405186 0.817228 0.784623 -0.629355 0.00361 0 0.12033 0.00206493 -16.3764 1 0 0 0.00773598 0.000470084
470 0.995564 0.00978028 0.036049 5.27185e-05 0.000266362 0.0409543 0.817914 0.784623 -0.644522 0.00368172 0 0.115534 0.0021511 -16.6023 1 0 0 0.00788322 0.000475924
475 1.04546 0.0102843 0.0375343 4.76333e-05 0.000266575 0.0413899 0.818606 0.784623 -0.659908 0.00375396 0 0.110916 0.00223981 -16.8296 1 0 0 0.0080198 0.000481571
480 1.09793 0.0108143 0.0390628 4.30383e-05 0.000266789 0.0418256 0.819305 0.784623 -0.675516 0.0038267 0 0.10647 0.00233111 -17.0582 1 0 0 0.00814464 0.000487011
485 1.15311 0.0113716 0.0406353 3.88864e-05 0.000267006 0.0422613 0.82001 0.784623 -0.691345 0.00389993 0 0.10219 0.00242504 -17.2881 1 0 0 0.00825666 0.000492233
490 1.21113 0.0119577 0.0422524 3.51349e-05 0.000267225 0.042697 0.820722 0.784623 -0.707396 0.00397366 0 0.0980709 0.00252165 -17.5192 1 0 0 0.00835477 0.00049722
495 1.27214 0.0125739 0.0439148 3.17451e-05 0.000267445 0.0431327 0.82144 0.784623 -0.723672 0.00404786 0 0.0941069 0.00262096 -17.7517 1 0 0 0.00843792 0.000501959
500 1.33616 0.0130897 0.0456232 2.92604e-05 0.000267668 0.0435684 0.822165 0.784623 -0.740176 0.00412255 0 0.0912051 0.00272303 -17.9855 1 0 0 0.00850581 0.000506446
505 1.40267 0.0136267 0.0473783 2.69776e-05 0.000267893 0.044004 0.822896 0.784623 -0.756906 0.00419771 0 0.088383 0.0028279 -18.2207 1 0 0 0.0085614 0.000510714
510 1.47219 0.0143289 0.0491809 2.43745e-05 0.000268119 0.0444397 0.823634 0.784623 -0.773859 0.00427332 0 0.0847827 0.00293561 -18.457 1 0 0 0.00860165 0.000514722
515 1.5453 0.0150674 0.0510316 2.20224e-05 0.000268347 0.0448754 0.824378 0.784623 -0.791039 0.00434938 0 0.0813204 0.00304621 -18.6946 1 0 0 0.00862329 0.000518426
520 1.62218 0.0158439 0.0529311 1.98972e-05 0.000268578 0.0453111 0.825128 0.784623 -0.808448 0.00442589 0 0.0779914 0.00315972 -18.9335 1 0 0 0.00862546 0.00052181
525 1.70301 0.0166604 0.0548802 1.79769e-05 0.00026881 0.0457468 0.825885 0.784623 -0.826087 0.00450283 0 0.0747911 0.00327621 -19.1736 1 0 0 0.00860742 0.000524859
530 1.78801 0.017519 0.0568795 1.62419e-05 0.000269044 0.0461825 0.826648 0.784623 -0.843956 0.00458021 0 0.071715 0.00339571 -19.415 1 0 0 0.0085685 0.000527555
535 1.8774 0.0184219 0.0589297 1.46743e-05 0.00026928 0.0466181 0.827417 0.784623 -0.862055 0.004658 0 0.0687586 0.00351825 -19.6576 1 0 0 0.00850819 0.000529882
540 1.97139 0.0193713 0.0610314 1.32579e-05 0.000269518 0.0470538 0.828192 0.784623 -0.880387 0.00473621 0 0.0659177 0.00364389 -19.9015 1 0 0 0.0084261 0.000531823
545 2.07022 0.0203696 0.0631855 1.19781e-05 0.000269758 0.0474895 0.828974 0.784623 -0.898952 0.00481483 0 0.0631882 0.00377267 -20.1466 1 0 0 0.00832199 0.000533363
550 2.17414 0.0214193 0.0653926 1.08218e-05 0.000269999 0.0479252 0.829762 0.784623 -0.917749 0.00489385 0 0.0605661 0.00390462 -20.393 1 0 0 0.00819583 0.000534483
555 2.28343 0.0225232 0.0676533 9.77714e-06 0.000270243 0.0483609 0.830556 0.784623 -0.936782 0.00497327 0 0.0580475 0.00403979 -20.6406 1 0 0 0.00804776 0.000535169
560 2.39834 0.023684 0.0699684 8.83324e-06 0.000270488 0.0487966 0.831356 0.784623 -0.956048 0.00505306 0 0.0556286 0.00417822 -20.8893 1 0 0 0.00787811 0.000535403
565 2.51918 0.0249045 0.0723386 7.98043e-06 0.000270735 0.0492322 0.832162 0.784623 -0.975551 0.00513324 0 0.0533057 0.00431996 -21.1394 1 0 0 0.00768746 0.000535169
570 2.64624 0.026188 0.0747644 7.20992e-06 0.000270984 0.0496679 0.832975 0.784623 -0.995289 0.00521378 0 0.0510754 0.00446503 -21.3906 1 0 0 0.00747659 0.000534452
575 2.77985 0.0275376 0.0772467 6.51376e-06 0.000271235 0.0501036 0.833793 0.784623 -1.01526 0.00529469 0 0.0489343 0.00461349 -21.643 1 0 0 0.00724652 0.000533237
580 2.91978 0.0286672 0.0797861 6.00428e-06 0.000271488 0.0505393 0.834618 0.784623 -1.03548 0.00537595 0 0.0473524 0.00476538 -21.8966 1 0 0 0.00700131 0.000531551
585 3.06604 0.0301446 0.0823831 5.42449e-06 0.000271742 0.050975 0.835449 0.784623 -1.05593 0.00545756 0 0.0453597 0.00492073 -22.1513 1 0 0 0.00674358 0.000529403
590 3.21676 0.0301446 0.0850386 5.31064e-06 0.000271998 0.0514107 0.836285 0.784623 -1.07663 0.00553953 0 0.0452296 0.00507959 -22.4074 1 0 0 0.00648465 0.000526945
595 3.36749 0.0301446 0.0877532 5.30505e-06 0.000272256 0.0518464 0.837128 0.784623 -1.09756 0.00562182 0 0.0455517 0.005242 -22.6647 1 0 0 0.00624526 0.000524508
600 3.51821 0.0301446 0.0905276 5.29945e-06 0.000272516 0.052282 0.837976 0.784623 -1.11874 0.00570445 0 0.0458725 0.00540799 -22.923 1 0 0 0.00602392 0.000522092
605 3.66893 0.0301446 0.0933623 5.29382e-06 0.000272778 0.0527177 0.838831 0.784623 -1.14015 0.00578739 0 0.046192 0.00557761 -23.1826 1 0 0 0.00581928 0.000519695
610 3.81966 0.0301446 0.0962581 5.28817e-06 0.000273041 0.0531534 0.839691 0.784623 -1.16181 0.00587064 0 0.0465101 0.0057509 -23.4432 1 0 0 0.00563007 0.000517318
615 3.97038 0.0301446 0.0992157 5.2825e-06 0.000273306 0.0535891 0.840558 0.784623 -1.18371 0.00595419 0 0.0468269 0.0059279 -23.705 1 0 0 0.00545515 0.00051496
620 4.1211 0.0301446 0.102236 5.27681e-06 0.000273573 0.0540248 0.84143 0.784623 -1.20584 0.00603804 0 0.0471423 0.00610865 -23.9678 1 0 0 0.00529344 0.000512621
625 4.27183 0.0301446 0.105319 5.2711e-06 0.000273841 0.0544605 0.842308 0.784623 -1.22822 0.00612217 0 0.0474563 0.00629318 -24.2318 1 0 0 0.00514397 0.000510301
630 4.42255 0.0301446 0.108465 5.26537e-06 0.000274112 0.0548961 0.843192 0.784623 -1.25084 0.00620659 0 0.0477691 0.00648155 -24.4968 1 0 0 0.00500582 0.000508
635 4.57327 0.0301446 0.111676 5.25962e-06 0.000274384 0.0553318 0.844081 0.784623 -1.27371 0.00629127 0 0.0480804 0.00667377 -24.7629 1 0 0 0.00487818 0.000505717
640 4.72369 0.0301446 0.114952 5.25416e-06 0.000274657 0.0557675 0.844977 0.784623 -1.29681 0.00637623 0 0.0483904 0.00686991 -25.0301 1 0 0 0.0047613 0.000503473
645 4.87442 0.0301446 0.118293 5.24808e-06 0.000274933 0.0562032 0.845878 0.784623 -1.32016 0.00646144 0 0.0486991 0.00706998 -25.2983 1 0 0 0.00465234 0.000501225
650 5.02514 0.0301446 0.121701 5.24227e-06 0.00027521 0.0566389 0.846785 0.784623 -1.34375 0.0065469 0 0.0490064 0.00727404 -25.5676 1 0 0 0.00455177 0.000498995
655 5.17586 0.0301446 0.125176 5.23646e-06 0.000275489 0.0570746 0.847697 0.784623 -1.36758 0.00663261 0 0.0493123 0.00748212 -25.8379 1 0 0 0.00445897 0.000496782
660 5.32659 0.0301446 0.128717 5.23062e-06 0.000275769 0.0575102 0.848615 0.784623 -1.39165 0.00671856 0 0.0496169 0.00769426 -26.1092 1 0 0 0.0043734 0.000494587
665 5.47731 0.0301446 0.132327 5.22477e-06 0.000276051 0.0579459 0.849539 0.784623 -1.41597 0.00680473 0 0.0499201 0.00791049 -26.3815 1 0 0 0.00429453 0.000492408
670 5.62803 0.0301446 0.136006 5.2189e-06 0.000276335 0.0583816 0.850468 0.784623 -1.44054 0.00689113 0 0.0502219 0.00813086 -26.6548 1 0 0 0.00422189 0.000490245
